DateNum,SW_Small,SW_Large,NE_Small,NE_Large,Difference_in_Small,Difference_in_Large
42103.55,174,8,137,6,37,2
42103.51,201,8,326,15,-125,-7
42103.47,189,7,199,8,-10,-1
42103.43,200,7,172,6,28,1
42103.39,152,7,168,7,-16,0
42103.34,124,6,122,6,2,0
42103.3,107,4,99,4,8,0
42103.26,97,3,84,3,13,0
42103.22,107,3,89,3,18,0
42103.18,105,3,95,3,10,0
42103.14,130,3,102,3,28,0
42103.09,156,4,130,4,26,0
42103.05,168,5,149,5,19,0
42103.01,170,5,162,6,8,-1
42102.97,238,8,189,8,49,0
42102.93,267,11,240,10,27,1
42102.89,256,11,232,11,24,0
42102.84,207,8,218,9,-11,-1
42102.8,167,6,171,6,-4,0
42102.76,99,3,110,3,-11,0
42102.72,77,2,87,2,-10,0
42102.68,62,2,62,2,0,0
42102.64,65,1,57,1,8,0
42102.59,70,1,71,1,-1,0
42102.55,140,4,128,4,12,0
